biggest_opening_bond	330
	236	 RT @CharlesYap: Via @WSJ: Bond movie #Skyfall had biggest opening of any film in the franchise&#39;s history http://on
	261	 RT @CharlesYap: Via @WSJ: Bond movie #Skyfall had biggest opening of any film in the franchise&#39;s history http://on
	500	Skyfall gets biggest James Bond opening ever - Hindustan Times http://www
	529	Skyfall gets biggest James Bond opening ever - Hindustan Times http://www
	558	Skyfall gets biggest James Bond opening ever - Hindustan Times http://www
	1492	Skyfall has the biggest Bond opening ever with $87
	1519	Skyfall has the biggest Bond opening ever with $87
	1543	Skyfall Gets Biggest James Bond Opening Ever: Skyfall, which is the 23rd Bond film in the 50-year-old series, is
	1565	Skyfall Gets Biggest James Bond Opening Ever: Skyfall, which is the 23rd Bond film in the 50-year-old series, is
	1571	Skyfall Gets Biggest James Bond Opening Ever - The Events &amp; Festivals Times http://fb
	1590	Skyfall Gets Biggest James Bond Opening Ever - The Events &amp; Festivals Times http://fb
	1689	Box office report: &#39;Skyfall&#39; has the biggest Bond opening ever with $87
	1718	Box office report: &#39;Skyfall&#39; has the biggest Bond opening ever with $87
	3096	Skyfall secures biggest ever Bond opening: http://www
	3126	Skyfall secures biggest ever Bond opening: http://www
	3152	Skyfall secures biggest ever Bond opening: http://www
	4546	’Skyfall’ has biggest Bond opening ever in US with $87
	4573	’Skyfall’ has biggest Bond opening ever in US with $87
	4600	’Skyfall’ has biggest Bond opening ever in US with $87
	5169	Box office report: &#39;Skyfall&#39; has the biggest Bond opening ever with $87
	5188	Box office report: &#39;Skyfall&#39; has the biggest Bond opening ever with $87
	6719	SKYFALL sets the record for the biggest opening for a Bond Movie all time in the US
	6750	SKYFALL sets the record for the biggest opening for a Bond Movie all time in the US
	6775	of course Skyfall has the biggest opening boxoffice figs for a bond movie
	6798	of course Skyfall has the biggest opening boxoffice figs for a bond movie
	7252	Box office report: &#39;Skyfall&#39; has the biggest Bond opening ever with $87
	7268	Box office report: &#39;Skyfall&#39; has the biggest Bond opening ever with $87
	7290	Box office report: &#39;Skyfall&#39; has the biggest Bond opening ever with $87
	7571	Box office report: &amp;#x27;Skyfall&amp;#x27; has the biggest Bond opening ever with $87
	7601	Box office report: &amp;#x27;Skyfall&amp;#x27; has the biggest Bond opening ever with $87
	7680	RT @WSJ: &quot;Skyfall,&quot; the newest James Bond movie, had the biggest opening of any film in the franchise&#39;s history
	7702	RT @WSJ: &quot;Skyfall,&quot; the newest James Bond movie, had the biggest opening of any film in the franchise&#39;s history
	7723	RT @WSJ: &quot;Skyfall,&quot; the newest James Bond movie, had the biggest opening of any film in the franchise&#39;s history
	8699	Box office report: &#39;Skyfall&#39; has the biggest Bond opening ever with $87
	8723	Box office report: &#39;Skyfall&#39; has the biggest Bond opening ever with $87
	8768	Box office report: &amp;#x27;Skyfall&amp;#x27; has the biggest Bond opening ever with $87
	8795	Box office report: &amp;#x27;Skyfall&amp;#x27; has the biggest Bond opening ever with $87
	9081	Box office report: &#39;Skyfall&#39; has the biggest Bond opening ever with $87
	9085	Skyfall is Bond&#39;s biggest debut at US box office: Latest James Bond film enjoys highest ever opening 
	9086	Skyfall is Bond&#39;s biggest debut at US box office: Latest James Bond film enjoys highest ever opening for 
	9113	Box office report: &#39;Skyfall&#39; has the biggest Bond opening ever with $87
	9194	Skyfall is Bond&#39;s biggest US debut: Latest James Bond film enjoys highest ever opening for a 007 movie in the US
	9198	Skyfall is Bond&#39;s biggest US debut: Latest James Bond film enjoys highest ever opening for a 007 movie in the US
	9201	Skyfall is Bond&#39;s biggest US debut: Latest James Bond film enjoys highest ever opening for a 007 movie in the US
	9391	Box office report: &#39;Skyfall&#39; has the biggest Bond opening ever with $87
	9394	RT @thgossip Skyfall Skyrockets to Biggest Bond Opening Ever

	9395	Skyfall Skyrockets to Biggest Bond Opening Ever: Movie goers enjoyed their in-theater beverages shaken not sti
