box_james_bond	475
	870	&#39;Skyfall&#39; fetches £55m in new US box office record for James Bond franchise via @Telegraph http://soc
	900	&#39;Skyfall&#39; fetches £55m in new US box office record for James Bond franchise via @Telegraph http://soc
	924	James Bond soars to box office record with &quot;Skyfall&quot; http://bit
	945	James Bond soars to box office record with &quot;Skyfall&quot; http://bit
	1144	James Bond soars to box office record with &#39;Skyfall&#39; http://reut
	1169	James Bond soars to box office record with &#39;Skyfall&#39; http://reut
	1192	James Bond soars to box office record with &#39;Skyfall&#39; http://reut
	1560	RT @RollingStone: Box Office Report: &#39;Skyfall&#39; sets a James Bond franchise record #Skyfall http://flpbd
	1863	Skyfall sets James Bond film box office record in U
	1864	Skyfall sets James Bond film box office record in U
	1886	Skyfall sets James Bond film box office record in U
	1887	Skyfall sets James Bond film box office record in U
	1908	Skyfall sets James Bond film box office record in U
	1909	Skyfall sets James Bond film box office record in U
	2544	James Bond soars to box office record with &quot;Skyfall&quot;: James Bond can don the tuxedo and break… http://goo
	2573	James Bond soars to box office record with &quot;Skyfall&quot;: James Bond can don the tuxedo and break… http://goo
	2743	James Bond soars to box office record with &quot;Skyfall&quot; http://reut
	2758	James Bond soars to box office record with &quot;Skyfall&quot; http://reut
	3065	Entertainment, James Bond ki film &quot;SkyFall&quot; ne Hollywood Box Office per apni hukamrani jama li #UrduNews

	3092	Entertainment, James Bond ki film &quot;SkyFall&quot; ne Hollywood Box Office per apni hukamrani jama li #UrduNews

	3634	James Bond soars to box office record with &quot;Skyfall&quot; http://bit
	3658	James Bond soars to box office record with &quot;Skyfall&quot; http://bit
	3846	Entertainment, James Bond ki film &quot;SkyFall&quot; ne Hollywood Box Office per apni hukamrani jama li

	3872	Entertainment, James Bond ki film &quot;SkyFall&quot; ne Hollywood Box Office per apni hukamrani jama li

	4000	James Bond soars to box office record with &#39;Skyfall&#39; http://goo
	4024	James Bond soars to box office record with &#39;Skyfall&#39; http://goo
	4306	SKYFALL BOX OFFICE: TRULY THE BIGGEST DOMESTIC DEBUT EVER FOR A JAMES BOND MOVIE http://www
	4307	SKYFALL BOX OFFICE: TRULY THE BIGGEST DOMESTIC DEBUT EVER FOR A JAMES BOND MOVIE http://www
	4308	SKYFALL BOX OFFICE: TRULY THE BIGGEST DOMESTIC DEBUT EVER FOR A JAMES BOND MOVIE http://www
	4397	Skyfall box office: Truly the biggest domestic debut ever for a James Bond movie http://lnkd
	4427	Skyfall box office: Truly the biggest domestic debut ever for a James Bond movie http://lnkd
	4915	James Bond debuted atop the box office once again over the weekend
	4935	James Bond debuted atop the box office once again over the weekend
	4951	James Bond debuted atop the box office once again over the weekend
	4968	James Bond debuted atop the box office once again over the weekend
	5045	SKYFALL BOX OFFICE: TRULY THE BIGGEST DOMESTIC DEBUT EVER FOR A JAMES BOND MOVIE http://pinterest
	5065	SKYFALL BOX OFFICE: TRULY THE BIGGEST DOMESTIC DEBUT EVER FOR A JAMES BOND MOVIE http://pinterest
	5088	SKYFALL BOX OFFICE: TRULY THE BIGGEST DOMESTIC DEBUT EVER FOR A JAMES BOND MOVIE http://pinterest
	5718	James Bond soars to box office record with &#39;Skyfall&#39;: James Bond can don the tuxedo and break out the Dom Perignon
	5742	James Bond soars to box office record with &#39;Skyfall&#39;: James Bond can don the tuxedo and break out the Dom Perignon
	6056	James Bond soars to box office record with &quot;Skyfall&quot; http://feedproxy
	6081	James Bond soars to box office record with &quot;Skyfall&quot; http://feedproxy
	6105	James Bond soars to box office record with &quot;Skyfall&quot; http://feedproxy
	6402	Skyfall Tops US Box Office: The new James Bond movie Skyfall has gone straight to the top of the US box 
	6403	Skyfall Tops US Box Office: The new James Bond movie Skyfall has gone straight to the top of the US box office o
	6404	Skyfall Tops US Box Office: The new James Bond movie Skyfall has gone straight to the top of the US box office o
	6405	Skyfall Tops US Box Office: The new James Bond movie Skyfall has gone straight to the top of the US box office o
	6409	Skyfall Tops US Box Office: The new James Bond movie Skyfall has gone straight to the top of the US box office o
	6410	#unitedrepublic Skyfall Tops US Box Office: The new James Bond movie Skyfall has gone straight to the top of the
	6423	Skyfall Tops US Box Office: The new James Bond movie Skyfall has gone straight to the top of the US box 
	6424	Skyfall Tops US Box Office: The new James Bond movie Skyfall has gone straight to the top of the US box office o
	6425	Skyfall Tops US Box Office: The new James Bond movie Skyfall has gone straight to the top of the US box office o
	6426	Skyfall Tops US Box Office: The new James Bond movie Skyfall has gone straight to the top of the US box office o
	6430	Skyfall Tops US Box Office: The new James Bond movie Skyfall has gone straight to the top of the US box office o
	6431	#unitedrepublic Skyfall Tops US Box Office: The new James Bond movie Skyfall has gone straight to the top of the
	6448	Skyfall Tops US Box Office: The new James Bond movie Skyfall has gone straight to the top of the US box 
	6449	Skyfall Tops US Box Office: The new James Bond movie Skyfall has gone straight to the top of the US box office o
