skyfall_paranormal_activity	514
	309	Paranormal nya geje syg haha RT @nisavidyas: skyfall , breaking dawn part 2 , paranormal activity 4 aaaarrggghh good movies all 
	336	Paranormal nya geje syg haha RT @nisavidyas: skyfall , breaking dawn part 2 , paranormal activity 4 aaaarrggghh good movies all 
	360	Paranormal nya geje syg haha RT @nisavidyas: skyfall , breaking dawn part 2 , paranormal activity 4 aaaarrggghh good movies all 
	1039	Niat mau nntn Skyfall brg @kayusaa g jd,akhirnya paranormal activity aj deh

	1067	Niat mau nntn Skyfall brg @kayusaa g jd,akhirnya paranormal activity aj deh

	1839	Yaahh kata temen gua gak enak paranormal activity gua aja gak jdRT @rienaucil: Niat mau nntn Skyfall brg @kayusaa g jd,akhirnya paranormal

	1868	Yaahh kata temen gua gak enak paranormal activity gua aja gak jdRT @rienaucil: Niat mau nntn Skyfall brg @kayusaa g jd,akhirnya paranormal

	1891	Yaahh kata temen gua gak enak paranormal activity gua aja gak jdRT @rienaucil: Niat mau nntn Skyfall brg @kayusaa g jd,akhirnya paranormal

	2007	I still need to see these films currently in Cinema - Skyfall, Looper and Paranormal Activity 4
	2027	I still need to see these films currently in Cinema - Skyfall, Looper and Paranormal Activity 4
	2055	I still need to see these films currently in Cinema - Skyfall, Looper and Paranormal Activity 4
	3063	Skyfall , wreck it ralph , paranormal activity mau nntn glooo

	3090	Skyfall , wreck it ralph , paranormal activity mau nntn glooo

	3952	Skyfall better than paranormal activity

	3976	Skyfall better than paranormal activity

	4340	temen2 pada ngajakin paranormal activity masa pas hari kamis dan gue sedang berjuang mencari temen yg mau nonton skyfall -_-

	4360	temen2 pada ngajakin paranormal activity masa pas hari kamis dan gue sedang berjuang mencari temen yg mau nonton skyfall -_-

	5099	Skyfall / Paranormal Activity 4 / Diary Of Wimpy Kids 
	5128	Skyfall / Paranormal Activity 4 / Diary Of Wimpy Kids 
	5299	Semuanya RT @gallDip: Skyfall / Paranormal Activity 4 / Diary Of Wimpy Kids 
	5327	Semuanya RT @gallDip: Skyfall / Paranormal Activity 4 / Diary Of Wimpy Kids 
	5351	Semuanya RT @gallDip: Skyfall / Paranormal Activity 4 / Diary Of Wimpy Kids 
	5426	Paranormal Activity4, insidious2, Breaking Dawn part2, SkyFall
	5489	RT @Ajenggprb: Paranormal Activity4, insidious2, Breaking Dawn part2, SkyFall
	5515	RT @Ajenggprb: Paranormal Activity4, insidious2, Breaking Dawn part2, SkyFall
	5639	ehhehehe :p RT @galohgaloh: Skyfall ama paranormal activity bagusan mana
	5643	&quot;@Ajenggprb: Paranormal Activity4, insidious2, Breaking Dawn part2, SkyFall
	5650	RT @nesahhh RT @Ajenggprb: Paranormal Activity4, insidious2, Breaking Dawn part2, SkyFall
	5676	RT @nesahhh RT @Ajenggprb: Paranormal Activity4, insidious2, Breaking Dawn part2, SkyFall
	5719	&quot;@Ajenggprb: Paranormal Activity4, insidious2, Breaking Dawn part2, SkyFall
	5743	&quot;@Ajenggprb: Paranormal Activity4, insidious2, Breaking Dawn part2, SkyFall
	5816	Insidious 2, Paranormal Activity 4, Breaking dawn 2, skyfall
	5817	Skyfall bagus bangettt &quot;@galohgaloh: Skyfall ama paranormal activity bagusan mana
	5835	Rt-_-&quot;@Ajenggprb: Paranormal Activity4, insidious2, Breaking Dawn part2, SkyFall
	5842	Insidious 2, Paranormal Activity 4, Breaking dawn 2, skyfall
	5843	Skyfall bagus bangettt &quot;@galohgaloh: Skyfall ama paranormal activity bagusan mana
	5853	Paranormal activity jhe, skyfall udh gw, gg seru RT @Adam_J20: @opick_novika oy ayo kamis nntn jd lah
	5863	Rt-_-&quot;@Ajenggprb: Paranormal Activity4, insidious2, Breaking Dawn part2, SkyFall
	5872	RT @Ajenggprb: Paranormal Activity4, insidious2, Breaking Dawn part2, SkyFall
