halfbillion_dollars_tops	65
	401	&#39;Skyfall&#39; tops a half-billion dollars in its first two weeks @stevenmakalla http://bit
	428	&#39;Skyfall&#39; tops a half-billion dollars in its first two weeks @stevenmakalla http://bit
	952	Skyfall Tops Half-Billion Dollars In First Two Weeks - Forbes http://onforb
	978	Skyfall Tops Half-Billion Dollars In First Two Weeks - Forbes http://onforb
	2296	RT @Forbes: &#39;Skyfall&#39; tops a half-billion dollars in its first two weeks http://flpbd
	2322	RT @Forbes: &#39;Skyfall&#39; tops a half-billion dollars in its first two weeks http://flpbd
	2348	RT @Forbes: &#39;Skyfall&#39; tops a half-billion dollars in its first two weeks http://flpbd
	2367	RT @Forbes: &#39;Skyfall&#39; tops a half-billion dollars in its first two weeks http://flpbd
	2421	&#39;Skyfall&#39; tops a half-billion dollars in its first two weeks http://bit
	2450	&#39;Skyfall&#39; tops a half-billion dollars in its first two weeks http://bit
	2478	&#39;Skyfall&#39; tops a half-billion dollars in its first two weeks http://bit
	4700	RT @Forbes: &#39;Skyfall&#39; tops a half-billion dollars in its first two weeks http://bit
	4718	RT @Forbes: &#39;Skyfall&#39; tops a half-billion dollars in its first two weeks http://bit
	4799	 “@Forbes: &#39;Skyfall&#39; tops a half-billion dollars in 1st two weeks http://bit
	4824	 “@Forbes: &#39;Skyfall&#39; tops a half-billion dollars in 1st two weeks http://bit
	4850	 “@Forbes: &#39;Skyfall&#39; tops a half-billion dollars in 1st two weeks http://bit
	6559	#Skyfall&#39; tops a half-billion dollars in its first two weeks http://bit
	6587	#Skyfall&#39; tops a half-billion dollars in its first two weeks http://bit
	8121	 What a hit Skyfall is RT @Forbes: &#39;Skyfall&#39; tops a half-billion dollars in its first two weeks http://bit
	8151	 What a hit Skyfall is RT @Forbes: &#39;Skyfall&#39; tops a half-billion dollars in its first two weeks http://bit
	8341	&#39;Skyfall&#39; Tops Half-Billion Dollars In First Two Weeks - Forbes http://onforb
	8365	&#39;Skyfall&#39; Tops Half-Billion Dollars In First Two Weeks - Forbes http://onforb
	8391	&#39;Skyfall&#39; Tops Half-Billion Dollars In First Two Weeks - Forbes http://onforb
	8564	&#39;Skyfall&#39; Tops Half-Billion Dollars In First Two Weeks http://ow
	8566	&#39;Skyfall&#39; Tops Half-Billion Dollars In First Two Weeks http://ow
	8589	&#39;Skyfall&#39; Tops Half-Billion Dollars In First Two Weeks http://ow
	8984	 (&#39;Skyfall&#39; Tops Half-Billion Dollars In First Two Weeks - Forbes) http://flpbd
	9018	 (&#39;Skyfall&#39; Tops Half-Billion Dollars In First Two Weeks - Forbes) http://flpbd
	10097	&#39;Skyfall&#39; tops a half-billion dollars in its first two weeks http://bit
	10123	&#39;Skyfall&#39; tops a half-billion dollars in its first two weeks http://bit
	12922	RT @Forbes: &#39;Skyfall&#39; tops a half-billion dollars in its first two weeks http://flpbd
	13217	 &quot;@Forbes: &#39;Skyfall&#39; tops a half-billion dollars in its first two weeks http://bit
	13239	 &quot;@Forbes: &#39;Skyfall&#39; tops a half-billion dollars in its first two weeks http://bit
	14244	 RT @Forbes: &#39;Skyfall&#39; tops a half-billion dollars in incredible worldwide opening http://bit
	14271	 RT @Forbes: &#39;Skyfall&#39; tops a half-billion dollars in incredible worldwide opening http://bit
	14879	#Skyfall tops a half-billion dollars in incredible worldwide opening http://flpbd
	14894	#Skyfall tops a half-billion dollars in incredible worldwide opening http://flpbd
	14908	#Skyfall tops a half-billion dollars in incredible worldwide opening http://flpbd
	16419	&#39;Skyfall&#39; Tops Half-Billion Dollars In First Two Weeks - Forbes http://onforb
	16444	&#39;Skyfall&#39; Tops Half-Billion Dollars In First Two Weeks - Forbes http://onforb
	18178	RT @quobou: RT @Forbes: &#39;Skyfall&#39; tops a half-billion dollars in its first two weeks http://bit
	18212	RT @quobou: RT @Forbes: &#39;Skyfall&#39; tops a half-billion dollars in its first two weeks http://bit
	18903	&#39;Skyfall&#39; tops a half-billion dollars in its first two weeks http://flpbd
	18934	&#39;Skyfall&#39; tops a half-billion dollars in its first two weeks http://flpbd
	19327	“@Forbes: &#39;Skyfall&#39; tops a half-billion dollars in its first two weeks http://bit
	19362	“@Forbes: &#39;Skyfall&#39; tops a half-billion dollars in its first two weeks http://bit
	21715	&#39;Skyfall&#39; Tops Half-Billion Dollars In First Two Weeks - Forbes http://onforb
	21739	&#39;Skyfall&#39; Tops Half-Billion Dollars In First Two Weeks - Forbes http://onforb
	22303	&#39;Skyfall&#39; tops a half-billion dollars in its first two weeks http://bit
	22925	 RT @Forbes: &#39;Skyfall&#39; tops a half-billion dollars in its first two weeks http://flpbd
	22956	 RT @Forbes: &#39;Skyfall&#39; tops a half-billion dollars in its first two weeks http://flpbd
	23808	&#39;Skyfall&#39; Tops Half-Billion Dollars In First Two Weeks
	25713	RT @Forbes: &#39;Skyfall&#39; tops a half-billion dollars in incredible worldwide opening http://flpbd
	28156	&#39;Skyfall&#39; tops half-billion dollars at the box office http://au
	28183	&#39;Skyfall&#39; tops half-billion dollars at the box office http://au
	29650	&#39;Skyfall&#39; Tops Half-Billion Dollars In Incredible Worldwide Opening http://zite
	29678	&#39;Skyfall&#39; Tops Half-Billion Dollars In Incredible Worldwide Opening http://zite
	32409	&#39;Skyfall&#39; Tops Half-Billion Dollars In First Two Weeks: http://joelg
	32435	&#39;Skyfall&#39; Tops Half-Billion Dollars In First Two Weeks: http://joelg
	32806	New @007 #Skyfall Movie Tops Half-Billion Dollars In First Two Weeks: http://joelg
