selena_justin_bieber	84
	20764	Top Entertainment Trends This Hour: Justin Bieber, Selena Gomez break up; #Skyfall tops weekend box office; #Lincoln logs $81K per-screen

	20791	Top Entertainment Trends This Hour: Justin Bieber, Selena Gomez break up; #Skyfall tops weekend box office; #Lincoln logs $81K per-screen

	21129	Entertainment Headlines: Steve Hofmeyr&#39;s Wiki page hacked; Justin Bieber wants Selena back; Skyfall scores biggest ever Bond debut
	21155	Entertainment Headlines: Steve Hofmeyr&#39;s Wiki page hacked; Justin Bieber wants Selena back; Skyfall scores biggest ever Bond debut
	21689	In the morning mix: the Justin Bieber and Selena Gomez situation, as we all currently understand it
	21700	In the morning mix: the Justin Bieber and Selena Gomez situation, as we all currently understand it
	21976	Justin Bieber may not be done with Selena Gomez; &#39;Skyfall&#39; opens big at the 
	21977	Justin Bieber may not be done with Selena Gomez; &#39;Skyfall&#39; opens big at the 
	21978	Justin Bieber may not be done with Selena Gomez; &#39;Skyfall&#39; opens big at the 
	22198	Justin Bieber may not be done with Selena Gomez; &#39;Skyfall&#39; opens big at the box… http://goo
	22220	Justin Bieber may not be done with Selena Gomez; &#39;Skyfall&#39; opens big at the box… http://goo
	22330	Justin Bieber may not be done with Selena Gomez; ‘Skyfall’ opens big at the box office http://dlvr
	22331	Justin Bieber may not be done with Selena Gomez; ‘Skyfall’ opens big at the box office http://dlvr
	22332	Justin Bieber may not be done with Selena Gomez; ‘Skyfall’ opens big at the box office http://dlvr
	22333	Justin Bieber may not be done with Selena Gomez; ‘Skyfall’ opens big at the box office http://dlvr
	22334	Justin Bieber may not be done with Selena Gomez; ‘Skyfall’ opens big at the box office http://dlvr
	22337	Justin Bieber may not be done with Selena Gomez; ‘Skyfall’ opens big at the box office http://dlvr
	22339	Justin Bieber may not be done with Selena Gomez; ‘Skyfall’ opens big at the box office http://dlvr
	22340	#SuryaRay #Surya Justin Bieber may not be done with Selena Gomez; ‘Skyfall’ opens big at the
	22341	Justin Bieber may not be done with Selena Gomez; ‘Skyfall’ opens big at the box office http://dlvr
	22342	Justin Bieber may not be done with Selena Gomez; ‘Skyfall’ opens big at the box office http://dlvr
	22343	Justin Bieber may not be done with Selena Gomez; ‘Skyfall’ opens big at the box office http://dlvr
	22344	Justin Bieber may not be done with Selena Gomez; ‘Skyfall’ opens big at the box office http://dlvr
	22346	Justin Bieber may not be done with Selena Gomez; ‘Skyfall’ opens big at the box office http://dlvr
	22347	Justin Bieber may not be done with Selena Gomez; ‘Skyfall’ opens big at the box office http://dlvr
	22348	Justin Bieber may not be done with Selena Gomez; ‘Skyfall’ opens big at the box office http://dlvr
	22349	Justin Bieber may not be done with Selena Gomez; ‘Skyfall’ opens big at the box office http://dlvr
	22361	Justin Bieber may not be done with Selena Gomez; &#39;Skyfall&#39; opens big at the 
	22493	Justin Bieber may not be done with Selena Gomez; &#39;Skyfall&#39; opens big at the 
	22521	Justin Bieber may not be done with Selena Gomez; &#39;Skyfall&#39; opens big at the 
	22655	Washington Post: Justin Bieber may not be done with Selena Gomez; ‘Skyfall’ opens big at the box office http://bit
	22675	Justin Bieber may not be done with Selena Gomez; &#39;Skyfall&#39; opens big at the 
	22801	Justin Bieber may not be done with Selena Gomez; &#39;Skyfall&#39; opens big at the 
	22802	Justin Bieber may not be done with Selena Gomez; &#39;Skyfall&#39; opens big at the 
	23128	#JustinBieber Justin Bieber may not be done with Selena Gomez; &#39;Skyfall&#39; opens big at the 
	23314	Justin Bieber may not be done with Selena Gomez; &#39;Skyfall&#39; opens big at the 
	23347	Justin Bieber may not be done with Selena Gomez; &#39;Skyfall&#39; opens big at the 
	23585	Justin Bieber | Justin Bieber may not be done with Selena Gomez; &#39;Skyfall&#39; opens big at the 
	23627	Justin Bieber may not be done with Selena Gomez; &#39;Skyfall&#39; opens big at the 
	23642	Justin Bieber may not be done with Selena Gomez; &#39;Skyfall&#39; opens big at the box 
	23671	Justin Bieber may not be done with Selena Gomez; &#39;Skyfall&#39; opens big at the 
	23704	Justin Bieber may not be done with Selena Gomez; &#39;Skyfall&#39; opens big at the box 
	23720	Justin Bieber may not be done with Selena Gomez; ‘Skyfall’ opens big at the box… http://goo
	23835	Justin Bieber may not be done with Selena Gomez; &#39;Skyfall&#39; opens big at the 
	23852	Justin Bieber may not be done with Selena Gomez; &#39;Skyfall&#39; opens big at the box 
	23854	Justin Bieber may not be done with Selena Gomez; &#39;Skyfall&#39; opens big at the box 
	23859	@entertainment05 Justin Bieber may not be done with Selena Gomez; &#39;Skyfall&#39; opens big at the box 
	24101	Justin Bieber may not be done with Selena Gomez; &#39;Skyfall&#39; opens big at the 
	24528	Justin Bieber may not be done with Selena Gomez; &#39;Skyfall&#39; opens big at the 
	24529	Justin Bieber may not be done with Selena Gomez; &#39;Skyfall&#39; opens big at the 
	24618	#Gossip #CelebrityNews Justin Bieber may not be done with Selena Gomez; &#39;Skyfall&#39; opens big at
	24636	Justin Bieber may not be done with Selena Gomez; ‘Skyfall’ opens big at the box office: _A morning
	24764	Justin Bieber may not be done with Selena Gomez; &#39;Skyfall&#39; opens big at the 
	24847	#bieber Justin Bieber may not be done with Selena Gomez; &#39;Skyfall&#39; opens big at the… http://goo
	25137	Justin Bieber may not be done with Selena Gomez; &#39;Skyfall&#39; opens big at the 
	25161	Justin Bieber may not be done with Selena Gomez; &#39;Skyfall&#39; opens big at the 
	25571	Justin Bieber may not be done with Selena Gomez; ‘Skyfall’ opens big at the box … – Washington Post (blog) http://dlvr
	25601	Justin Bieber may not be done with Selena Gomez; ‘Skyfall’ opens big at the box … – Washington Post (blog) http://dlvr
	25629	Justin Bieber may not be done with Selena Gomez; ‘Skyfall’ opens big at the box office: A morning mix of entert
	25630	Justin Bieber may not be done with Selena Gomez; ‘Skyfall’ opens big at the box office: A morning mix of entert
	25933	Justin Bieber may not be done with Selena Gomez http://wapo
	25961	Justin Bieber may not be done with Selena Gomez http://wapo
	30314	James Franco: Slept Though Skyfall, Justin Bieber: Thinks He&#39;ll Get Back With Selena | Christine&#39;s Dirt http://www
	30340	James Franco: Slept Though Skyfall, Justin Bieber: Thinks He&#39;ll Get Back With Selena | Christine&#39;s Dirt http://www
	31146	Justin Bieber may not be done with Selena Gomez; ‘Skyfall’ opens big at the box office: A morning mix of entert
	31147	Justin Bieber may not be done with Selena Gomez; ‘Skyfall’ opens big at the box office: A morning mix of entert
	31181	Justin Bieber may not be done with Selena Gomez; ‘Skyfall’ opens big at the box office: A morning mix of entert
	31182	Justin Bieber may not be done with Selena Gomez; ‘Skyfall’ opens big at the box office: A morning mix of entert
	31719	Justin Bieber may not be done with Selena Gomez; &#39;Skyfall&#39; opens big at the 
	33250	Justin Bieber may not be done with Selena Gomez; &#39;Skyfall&#39; opens big at the 
	33270	Justin Bieber may not be done with Selena Gomez; &#39;Skyfall&#39; opens big at the 
	33641	Justin Bieber may not be done with Selena Gomez; &#39;Skyfall&#39; opens big at the 
	34375	Justin Bieber may not be done with Selena Gomez; &#39;Skyfall&#39; opens big at the 
	34407	Justin Bieber may not be done with Selena Gomez; &#39;Skyfall&#39; opens big at the 
	34730	Justin Bieber may not be done with Selena Gomez; ‘Skyfall’ opens big at the box office http://adf
	34754	Justin Bieber may not be done with Selena Gomez; ‘Skyfall’ opens big at the box office http://adf
	34798	Justin Bieber may not be done with Selena Gomez; &#39;Skyfall&#39; opens big at the 
	34819	Justin Bieber may not be done with Selena Gomez; &#39;Skyfall&#39; opens big at the 
	35496	Justin Bieber may not be done with Selena Gomez; &#39;Skyfall&#39; opens big at the 
	35916	Justin Bieber may not be done with Selena Gomez; &#39;Skyfall&#39; opens big at the 
	36278	Justin Bieber may not be done with Selena Gomez; &#39;Skyfall&#39; opens big at the 
	36621	Justin Bieber may not be done with Selena Gomez; &#39;Skyfall&#39; opens big at the 
	36652	Justin Bieber may not be done with Selena Gomez; &#39;Skyfall&#39; opens big at the 
	36989	Justin Bieber may not be done with Selena Gomez; &#39;Skyfall&#39; opens big at the 

